title_pt;title_en;year;rating;genre;sinopse
Snatch: Porcos e Diamantes;. Snatch: Porcos e Diamantes;2000;8.2;Comédia;Segue a luta de criminais tráis um diamante como nenhum outro nu mundo.
Réquiem para um Sonho; Réquiem para um Sonho;2000;8.3;Drama;As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.
Amores Brutos;. Amores Brutos;2000;8.1;Drama;Um terrível acidente de carro conecta três histórias, cada uma envolvendo personagens que lidam com a perda, o arrependimento e as duras realidades da vida, tudo em nome do amor.
Gladiador; Gladiador;2000;8.5;Ação;Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.
Amnésia; Amnésia;2000;8.4;Mistério;Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.
A Viagem de Chihiro; A Viagem de Chihiro;2001;8.6;Animação;Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.
Uma Mente Brilhante;. Uma Mente Brilhante;2001;8.2;Biografia;A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.
O Fabuloso Destino de Amélie Poulain;. O Fabuloso Destino de Amélie Poulain;2001;8.3;Comédia;Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.
O Senhor dos Anéis: A Sociedade do Anel;O Senhor dos Anéis: A Sociedade do Anel;2001;8.8;Ação;Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.
Monstros S.A.;. Monstros S.A.;2001;8.1;Animação;Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.
O Pianista; O Pianista;2002;8.5;Biografia;Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.
Prenda-me se for Capaz;. Prenda-me se for Capaz;2002;8.1;Biografia;Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.
Cidade de Deus; Cidade de Deus;2002;8.6;Policial;Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.
O Senhor dos Anéis: As Duas Torres; O Senhor dos Anéis: As Duas Torres;2002;8.8;Ação;Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.
Memórias de um Assassino;. Memórias de um Assassino;2003;8.1;Policial;Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.
Oldboy; Oldboy;2003;8.4;Ação;Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.
Procurando Nemo;. Procurando Nemo;2003;8.2;Animação;Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.
Kill Bill: Volume 1;. Kill Bill: Volume 1;2003;8.2;Ação;Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.
Piratas do Caribe: A Maldição do Pérola Negra;. Piratas do Caribe: A Maldição do Pérola Negra;2003;8.1;Ação;O ferreiro Will Turner se junta ao capitão Jack Sparrow para salvar seu amor, a filha do governador, dos ex-aliados piratas de Jack, que agora estão vivos.
O Senhor dos Anéis: O Retorno do Rei;O Senhor dos Anéis: O Retorno do Rei;2003;9.0;Ação;Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.
Os Incríveis;. Os Incríveis;2004;8.0;Animação;Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.
Hotel Ruanda;. Hotel Ruanda;2004;8.1;Biografia;Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.
Antes do Pôr do Sol;. Antes do Pôr do Sol;2004;8.1;Drama;Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França.
A Queda! As Últimas Horas de Hitler;. A Queda! As Últimas Horas de Hitler;2004;8.2;Biografia;O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.
Brilho Eterno de uma Mente sem Lembranças; Brilho Eterno de uma Mente sem Lembranças;2004;8.3;Drama;Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.
Menina de Ouro;. Menina de Ouro;2004;8.1;Drama;Uma mulher determinada se prepara para se tornar numa pugilista profissional.
O Castelo Animado;. O Castelo Animado;2004;8.2;Animação;Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.
Batman Begins;. Batman Begins;2005;8.2;Ação;Depois do treinamento, Batman comença a luta contra o crime e corrupçao en Gotham.
Meu Pai e Meu Filho;. Meu Pai e Meu Filho;2005;8.2;Drama;A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.
V de Vingança;. V de Vingança;2005;8.2;Ação;Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.
O Labirinto do Fauno;. O Labirinto do Fauno;2006;8.2;Drama;Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.
A Vida dos Outros; A Vida dos Outros;2006;8.4;Drama;Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.
Os Infiltrados; Os Infiltrados;2006;8.5;Policial;Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.
O Grande Truque; O Grande Truque;2006;8.5;Drama;Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.
Como Estrelas na Terra;. Como Estrelas na Terra;2007;8.3;Drama;Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.
Sangue Negro;. Sangue Negro;2007;8.2;Drama;Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.
Ratatouille;. Ratatouille;2007;8.1;Animação;Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.
Onde os Fracos Não Têm Vez;. Onde os Fracos Não Têm Vez;2007;8.2;Policial;Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.
Na Natureza Selvagem;. Na Natureza Selvagem;2007;8.1;Aventura;Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza.
Batman: O Cavaleiro das Trevas;Batman: O Cavaleiro das Trevas;2008;9.0;Ação;Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiça.
WALL·E; WALL·E;2008;8.4;Animação;Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.
Gran Torino;. Gran Torino;2008;8.1;Drama;Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.
3 Idiotas; 3 Idiotas;2009;8.4;Comédia;Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.
O Segredo dos Seus Olhos;. O Segredo dos Seus Olhos;2009;8.2;Drama;Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.
Mary e Max: Uma Amizade Diferente;. Mary e Max: Uma Amizade Diferente;2009;8.1;Animação;Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.
Sempre ao Seu Lado;. Sempre ao Seu Lado;2009;8.1;Biografia;Um professor universitário se liga a um cachorro abandonado que ele leva para casa.
Up: Altas Aventuras;. Up: Altas Aventuras;2009;8.3;Animação;Carl Fredricksen, de 78 anos, viaja a Paraside Falls com sua casa e inadvertidamente leva um menino com ele.
Bastardos Inglórios; Bastardos Inglórios;2009;8.3;Aventura;Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.
Como Treinar o Seu Dragão;. Como Treinar o Seu Dragão;2010;8.1;Animação;Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.
Toy Story 3; Toy Story 3;2010;8.3;Animação;Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.
A Origem; A Origem;2010;8.8;Ação;Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.
Incêndios;. Incêndios;2010;8.3;Drama;Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.
Ilha do Medo;. Ilha do Medo;2010;8.2;Mistério;Em 1945, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.
Guerreiro;. Guerreiro;2011;8.1;Ação;O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.
Histórias Cruzadas;. Histórias Cruzadas;2011;8.1;Drama;Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.
Harry Potter e as Relíquias da Morte - Parte 2;. Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1;Aventura;Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.
A Separação;. A Separação;2011;8.3;Drama;Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.
Intocáveis; Intocáveis;2011;8.5;Biografia;Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.
Django Livre; Django Livre;2012;8.5;Drama;Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.
A Caça; A Caça;2012;8.3;Drama;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.
Batman: O Cavaleiro das Trevas Ressurge; Batman: O Cavaleiro das Trevas Ressurge;2012;8.4;Ação;Oito anos depois da anarquia do Coringa, Batman com ajuda da Mulher Gato, tentam salvar Gotham do terrorista Bane.
Os Suspeitos;. Os Suspeitos;2013;8.1;Policial;Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.
O Lobo de Wall Street;. O Lobo de Wall Street;2013;8.2;Biografia;Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.
12 Anos de Escravidão;. 12 Anos de Escravidão;2013;8.1;Biografia;Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.
Rush: No Limite da Emoção;. Rush: No Limite da Emoção;2013;8.1;Ação;A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.
Interestelar; Interestelar;2014;8.7;Aventura;Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.
Garota Exemplar;. Garota Exemplar;2014;8.1;Drama;Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.
O Grande Hotel Budapeste;. O Grande Hotel Budapeste;2014;8.1;Aventura;As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.
Relatos Selvagens;. Relatos Selvagens;2014;8.1;Comédia;Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.
Whiplash: Em Busca da Perfeição; Whiplash: Em Busca da Perfeição;2014;8.5;Drama;Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.
Divertida Mente;. Divertida Mente;2015;8.1;Animação;Quando o jovem Riley se muda á San Francisco deberá lidiar com suas emoções.
Spotlight: Segredos Revelados;. Spotlight: Segredos Revelados;2015;8.1;Biografia;A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.
Mad Max: Estrada da Fúria;. Mad Max: Estrada da Fúria;2015;8.1;Ação;Num mundo apocalíptico, uma mulher se rebela contra um tirano ao procurar uma nova casa para um grupo de mulheres prisioneiras com a ajuda dum homem chamado Max.
O Quarto de Jack;. O Quarto de Jack;2015;8.1;Drama;Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.
Dangal;. Dangal;2016;8.3;Ação;O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.
Até o Último Homem;. Até o Último Homem;2016;8.1;Biografia;O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.
Your Name.; Your Name.;2016;8.4;Animação;Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?
A Criada;. A Criada;2016;8.1;Drama;Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.
Três Anúncios para um Crime;. Três Anúncios para um Crime;2017;8.1;Comédia;Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.
Viva: A Vida é uma Festa; Viva: A Vida é uma Festa;2017;8.4;Animação;Miguel entra na terra dos mortos para encontrar a seu bisavó quem era um lendário cantante.
Logan;. Logan;2017;8.1;Ação;Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.
Green Book: O Guia;. Green Book: O Guia;2018;8.2;Biografia;Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.
Cafarnaum; Cafarnaum;2018;8.4;Drama;Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.
Vingadores: Guerra Infinita; Vingadores: Guerra Infinita;2018;8.4;Ação;Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.
Homem-Aranha: No Aranhaverso; Homem-Aranha: No Aranhaverso;2018;8.4;Animação;Um jovem se torna o Homem Aranha de sua realidade, cruzando seu caminho com cinco colegas de outras dimensões para impedir uma ameaça a todas as realidades.
1917;. 1917;2019;8.2;Ação;Trama desconhecida. O filme será de 1917 durante a primeira guerra mundial.
Klaus;. Klaus;2019;8.2;Animação;Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.
Parasita; Parasita;2019;8.5;Drama;Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.
Vingadores: Ultimato; Vingadores: Ultimato;2019;8.4;Ação;Após os eventos devastadores de Vingadores: Guerra Infinita , o universo está em ruínas, e com a ajuda de aliados os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.
Ford vs Ferrari;. Ford vs Ferrari;2019;8.1;Ação;Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.
Coringa; Coringa;2019;8.4;Policial;Um comediante falido enlouquece e se torna um assassino psicopata.
Hamilton;. Hamilton;2020;8.3;Biografia;A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.
Meu Pai;. Meu Pai;2020;8.2;Drama;Um homem recusa toda a ajuda de sua filha à medida que envelhece. Ao tentar entender as mudanças nas circunstâncias, ele começa a duvidar dos seus entes queridos, da sua própria mente e até mesmo da estrutura de sua realidade.
Jai Bhim;. Jai Bhim;2021;8.8;Policial;Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.
Homem-Aranha: Sem Volta para Casa;. Homem-Aranha: Sem Volta para Casa;2021;8.2;Ação;Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.
Top Gun: Maverick;. Top Gun: Maverick;2022;8.3;Ação;Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.
Homem-Aranha: Através do Aranhaverso; Homem-Aranha: Através do Aranhaverso;2023;8.7;Animação;Miles Morales, o amigão da vizinhança Homem-Aranha, é transporado através do multiverso para unir forças com Gwen Stacy e um novo time de Pessoas-Aranha para enfrentar um vilão mais poderoso do que qualquer coisa que já tenham encontrado.
Oppenheimer; Oppenheimer;2023;8.6;Biografia;A história do cientista americano J. Robert Oppenheimer e o seu papel no desenvolvimento da bomba atômica.
