title_pt;title_en;year;rating;genre;sinopse
A Canção da Estrada;. A Canção da Estrada;1955;8.2;Drama;O padre Harihar Ray, sonhando com uma vida melhor para si e sua família, deixa sua aldeia rural de Bengala em busca de trabalho.
Testemunha de Acusação; Testemunha de Acusação;1957;8.4;Policial;Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.
Morangos Silvestres;. Morangos Silvestres;1957;8.1;Drama;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.
12 Homens e uma Sentença;12 Homens e uma Sentença;1957;9.0;Policial;O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.
Glória Feita de Sangue; Glória Feita de Sangue;1957;8.4;Drama;Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.
A Ponte do Rio Kwai;. A Ponte do Rio Kwai;1957;8.1;Aventura;Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.
O Sétimo Selo;. O Sétimo Selo;1957;8.1;Drama;Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.
Um Corpo que Cai;. Um Corpo que Cai;1958;8.3;Mistério;Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.
Ben-Hur;. Ben-Hur;1959;8.1;Aventura;Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.
Os Incompreendidos;. Os Incompreendidos;1959;8.1;Policial;Uma criança, sem atenção, entra em uma vida de pequenos crimes.
Quanto Mais Quente Melhor;. Quanto Mais Quente Melhor;1959;8.2;Comédia;Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.
Intriga Internacional;. Intriga Internacional;1959;8.3;Ação;Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.
Psicose; Psicose;1960;8.5;Terror;Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.
Se Meu Apartamento Falasse;. Se Meu Apartamento Falasse;1960;8.3;Comédia;Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.
Yojimbo, o Guarda-Costas;. Yojimbo, o Guarda-Costas;1961;8.2;Ação;Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.
Julgamento em Nuremberg;. Julgamento em Nuremberg;1961;8.3;Drama;Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.
Harakiri; Harakiri;1962;8.6;Ação;Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.
Lawrence da Arábia; Lawrence da Arábia;1962;8.3;Aventura;A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.
O Sol é para Todos;. O Sol é para Todos;1962;8.3;Policial;Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.
Fugindo do Inferno;. Fugindo do Inferno;1963;8.2;Aventura;Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.
Céu E Inferno; Céu E Inferno;1963;8.4;Policial;Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.
Dr. Fantástico; Dr. Fantástico;1964;8.4;Comédia;Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.
Por uns Dólares a Mais;. Por uns Dólares a Mais;1965;8.2;Drama;Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.
A Noviça Rebelde;. A Noviça Rebelde;1965;8.1;Biografia;Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.
Três Homens em Conflito; Três Homens em Conflito;1966;8.8;Aventura;Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.
A Batalha de Argel;. A Batalha de Argel;1966;8.1;Drama;Nos anos 50, o medo e a violência aumentam à medida que o povo de Argel lutava pela independência do governo francês.
Quando Duas Mulheres Pecam;. Quando Duas Mulheres Pecam;1966;8.1;Drama;Uma enfermeira é encarregada de uma atriz silenciosa e descobre que sua personalidade parece convergir em uma.
Rebeldia Indomável;. Rebeldia Indomável;1967;8.1;Policial;Um sulista quieto é condenado a dois anos em uma prisão rural, mas se recusa a obedecer.
2001: Uma Odisséia no Espaço; 2001: Uma Odisséia no Espaço;1968;8.3;Aventura;Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.
Era uma Vez no Oeste; Era uma Vez no Oeste;1968;8.5;Faroeste;Um misterioso estranhoe se junta com um bandido para proteger a uma viúva.
Laranja Mecânica;. Laranja Mecânica;1971;8.3;Policial;No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.
O Poderoso Chefão;O Poderoso Chefão;1972;9.2;Policial;O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.
Golpe de Mestre;. Golpe de Mestre;1973;8.3;Comédia;Dois golpistas se reúnem para obter o melhor golpe.
O Exorcista;. O Exorcista;1973;8.1;Terror;Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de um padre, que também é um psiquiatra, para salvar sua filha.
O Poderoso Chefão II;O Poderoso Chefão II;1974;9.0;Policial;Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.
Chinatown;. Chinatown;1974;8.2;Drama;Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.
Monty Python em Busca do Cálice Sagrado;. Monty Python em Busca do Cálice Sagrado;1975;8.2;Aventura;O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.
Barry Lyndon;. Barry Lyndon;1975;8.1;Aventura;Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.
Um Estranho no Ninho; Um Estranho no Ninho;1975;8.7;Drama;Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.
Tubarão;. Tubarão;1975;8.1;Aventura;Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.
Taxi Driver: Motorista de Táxi;. Taxi Driver: Motorista de Táxi;1976;8.2;Policial;Um veterano de guerra com problemas mentais trabalha de noite como condutor de táxi na cidade de Nova Iorque, onde experimenta violência e perigo ao tentar ajudar um trabalhador e uma prostituta.
Rocky: Um Lutador;. Rocky: Um Lutador;1976;8.1;Drama;Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.
Rede de Intrigas;. Rede de Intrigas;1976;8.1;Drama;Uma rede de televisão explora os delírios e revelações de um homem perturbado.
Star Wars: Episódio IV - Uma Nova Esperança; Star Wars: Episódio IV - Uma Nova Esperança;1977;8.6;Ação;Luke Skywalker une forças com um cabaleiro Jedi, um arrogante piloto é dois dróides para salvar a galaxia enquanto tentam salvar a princesa Leia do misterioso Darth Vader.
O Franco Atirador;. O Franco Atirador;1978;8.1;Drama;Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.
Apocalypse Now; Apocalypse Now;1979;8.4;Drama;Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.
Alien - O 8º Passageiro; Alien - O 8º Passageiro;1979;8.5;Terror;Depois que um navio mercante do espaço percebe uma transmissão desconhecida como uma chamada de socorro, encontra um dos tripulantes atacado por um misterioso modo de vida, e logo percebem que seu ciclo de vida simplesmente começou.
A Vida de Brian;. A Vida de Brian;1979;8.0;Comédia;Nascido no Natal original no estábulo ao lado de Jesus, Brian de Nazaret passa a vida confundido com um messias.
O Iluminado; O Iluminado;1980;8.4;Drama;Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.
Star Wars: Episódio V - O Império Contra-Ataca; Star Wars: Episódio V - O Império Contra-Ataca;1980;8.7;Ação;Os rebeldes derrotaram o Império no planeta congelado Hoth. Luke Skywalker começa a treinar como um Jedi com Yoda, enquanto seus amigos são perseguidos por Darth Vader.
O Homem Elefante;. O Homem Elefante;1980;8.2;Biografia;Um famoso médico estuda a um jovem com a cara deformada, conhecido como Homem Elefante, ele se da conta que o homem é inteligente e de bom coração.
Touro Indomável;. Touro Indomável;1980;8.1;Biografia;A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.
O Barco: Inferno no Mar; O Barco: Inferno no Mar;1981;8.4;Drama;O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.
Os Caçadores da Arca Perdida; Os Caçadores da Arca Perdida;1981;8.4;Ação;Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.
O Enigma de Outro Mundo;. O Enigma de Outro Mundo;1982;8.2;Terror;Um team de investigação na Antartica é perseguido por extraterrestres.
Blade Runner: O Caçador de Androides;. Blade Runner: O Caçador de Androides;1982;8.1;Ação;Um corredor deberá perseguir é acabar com quatro replicantes que roubaram uma nave no espaço, e deberá regresar á Terra e encontrar seu criador.
Star Wars, Episódio VI: O Retorno do Jedi; Star Wars, Episódio VI: O Retorno do Jedi;1983;8.3;Ação;Depois de uma missão ousada para resgatar Han Solo da cabana de Jabba, os rebeldes partem para fazer Endor destruir a mais poderosa Estrela da Morte. Enquanto isso, Luke tenta trazer Darth Vader de volta do lado negro, sem cair na armadilha do Imperador.
Scarface;. Scarface;1983;8.3;Policial;Em Miamo em 1980, um imigrante cubano toma o control dum cartel de drogas.
O Exterminador do Futuro;. O Exterminador do Futuro;1984;8.1;Ação;Um indestrutível robô é enviado de 2029 a 1984 para assassinar a uma jovem garçonete que vai ter um filho que vai liderar uma guerra contra máquinas maa um soldado humano também é enviado para protege-lha.
Amadeus; Amadeus;1984;8.4;Biografia;A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.
Era uma Vez na América; Era uma Vez na América;1984;8.3;Policial;Um ex criminal judeu da época da proibição volta a Manhattan onde deberá confrontar seu pasado.
Vá e Veja; Vá e Veja;1985;8.4;Drama;Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.
De Volta para o Futuro; De Volta para o Futuro;1985;8.5;Aventura;Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.
Ran;. Ran;1985;8.2;Ação;No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.
Conta Comigo;. Conta Comigo;1986;8.1;Aventura;Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.
Platoon;. Platoon;1986;8.1;Drama;Um jovem soldado do Vietnã se confronta com uma crisis moral frete aos horrores da guerra.
Aliens, O Resgate; Aliens, O Resgate;1986;8.4;Ação;Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.
Nascido para Matar;. Nascido para Matar;1987;8.3;Drama;Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.
Duro de Matar;. Duro de Matar;1988;8.2;Ação;John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.
Túmulo dos Vagalumes; Túmulo dos Vagalumes;1988;8.5;Animação;Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.
Cinema Paradiso; Cinema Paradiso;1988;8.5;Drama;Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.
Meu Amigo Totoro;. Meu Amigo Totoro;1988;8.1;Animação;Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.
Indiana Jones e a Última Cruzada;. Indiana Jones e a Última Cruzada;1989;8.2;Ação;"Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler."
Sociedade dos Poetas Mortos;. Sociedade dos Poetas Mortos;1989;8.1;Comédia;O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.
Os Bons Companheiros; Os Bons Companheiros;1990;8.7;Biografia;A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.
Dança com Lobos;. Dança com Lobos;1990;8.0;Aventura;O tenente John Dunbar, designado para um posto remoto da Guerra Civil, faz amizade com lobos e índios, se tornando intolerável nas forças armadas.
O Exterminador do Futuro 2: O Julgamento Final; O Exterminador do Futuro 2: O Julgamento Final;1991;8.6;Ação;Um ciborgue, idêntico àquele que não conseguiu matar Sarah Connor, deve agora proteger seu filho adolescente, John Connor, de um ciborgue mais avançado e poderoso.
O Silêncio dos Inocentes; O Silêncio dos Inocentes;1991;8.6;Policial;Uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.
Cães de Aluguel; Cães de Aluguel;1992;8.3;Policial;Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.
Os Imperdoáveis;. Os Imperdoáveis;1992;8.2;Drama;O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.
Aladdin;. Aladdin;1992;8.0;Animação;Um menino de rua bondoso e um Vizir competem por uma lâmpada mágica que tem o poder de realizar seus mais profundos desejos.
Jurassic Park;. Jurassic Park;1993;8.2;Ação;Durante um tour o parque sofre falta de energia eléctrica o que faz que um dinossauro clonado saia do seu claustro.
Feitiço do Tempo;. Feitiço do Tempo;1993;8.0;Comédia;Um homem vive o mesmo dia uma e outra vez.
Em Nome do Pai;. Em Nome do Pai;1993;8.1;Biografia;Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.
A Lista de Schindler;A Lista de Schindler;1993;9.0;Biografia;Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a ser preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.
Um Sonho de Liberdade;Um Sonho de Liberdade;1994;9.3;Drama;Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.
Pulp Fiction - Tempo de Violência;Pulp Fiction - Tempo de Violência;1994;8.9;Policial;As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.
O Rei Leão; O Rei Leão;1994;8.5;Animação;Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.
O Profissional; O Profissional;1994;8.5;Ação;Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.
Forrest Gump: O Contador de Histórias; Forrest Gump: O Contador de Histórias;1994;8.8;Drama;Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.
Os Suspeitos; Os Suspeitos;1995;8.5;Policial;O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.
Fogo Contra Fogo;. Fogo Contra Fogo;1995;8.3;Ação;Um grupo de profissionais roubando bancos sospeitam que a polícia está tráis deles quando deixam uma pista no seu último roubo.
Toy Story; Toy Story;1995;8.3;Animação;Um brinquedo do cauboi se sente profundamente ameaçado e celoso quando um brinquedo patrulheiro espacial passa a ter mais atençao do garoto.
O Ódio;. O Ódio;1995;8.1;Policial;24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.
Cassino;. Cassino;1995;8.2;Policial;Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.
Seven: Os Sete Crimes Capitais; Seven: Os Sete Crimes Capitais;1995;8.6;Policial;Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.
Antes do Amanhecer;. Antes do Amanhecer;1995;8.1;Drama;Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.
Coração Valente; Coração Valente;1995;8.3;Biografia;Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.
Trainspotting: Sem Limites;. Trainspotting: Sem Limites;1996;8.1;Drama;Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.
Fargo: Uma Comédia de Erros;. Fargo: Uma Comédia de Erros;1996;8.1;Policial;O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.
A Vida é Bela; A Vida é Bela;1997;8.6;Comédia;Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.
Princesa Mononoke; Princesa Mononoke;1997;8.3;Animação;Numa viagem para descobrir a cura contra a maldição de Tatarigami, Ashitaka, se encontra uma guerra entre os deuses da foresta e Tatara, uma colônia mineira.
Gênio Indomável; Gênio Indomável;1997;8.3;Drama;Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.
Los Angeles: Cidade Proibida;. Los Angeles: Cidade Proibida;1997;8.2;Policial;A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.
Filhos do Paraíso;. Filhos do Paraíso;1997;8.2;Drama;Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.
O Resgate do Soldado Ryan; O Resgate do Soldado Ryan;1998;8.6;Drama;Depois de chegar a Normandía, um grupo de soldados precisam encontrar ao unico irmão vivo de tres que morreram na guerra.
O Grande Lebowski;. O Grande Lebowski;1998;8.1;Comédia;Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.
A Outra História Americana; A Outra História Americana;1998;8.5;Policial;Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.
Jogos, Trapaças e Dois Canos Fumegantes;. Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1;Ação;Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.
O Show de Truman: O Show da Vida;. O Show de Truman: O Show da Vida;1998;8.2;Comédia;Um vendedor de seguros descobre que sua vida é um programa de televisão.
Matrix; Matrix;1999;8.7;Ação;Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.
O Sexto Sentido;. O Sexto Sentido;1999;8.2;Drama;Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.
Clube da Luta; Clube da Luta;1999;8.8;Drama;Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.
À Espera de um Milagre; À Espera de um Milagre;1999;8.6;Policial;As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.
O Gigante de Ferro;. O Gigante de Ferro;1999;8.1;Animação;Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.
Beleza Americana; Beleza Americana;1999;8.3;Drama;Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.
